f_105
1.247230
1.149770
1.588760
1.659100
1.690690
1.706180
1.588760
1.734500
1.746420
1.756550
1.754460
1.764600
1.763110
1.755950
1.738670
1.630490
1.628100
1.507400
1.211610
0.821650
0.796318
1.175850
1.523490
1.430810
1.431850
1.689490
1.416210
1.395050
1.806020
1.778010
1.825090
1.612600
1.290590
1.830760
1.890060
1.690980
1.828070
1.594420
1.896620
1.914200
1.880530
1.779500
1.182260
1.222190
1.478490
1.828670
1.926420
1.562830
1.789930
2.008080
1.968440
1.932080
1.817640
1.507700
1.700520
1.870990
1.766680
1.338120
0.913441
1.296250
1.743440
1.872780
1.723770
2.044140
1.994070
2.118950
2.052190
1.919870
1.774730
1.746710
1.963380
1.806020
1.594130
0.796616
1.498610
1.932380
2.079010
1.946090
2.187490
2.197030
2.214310
2.046230
2.009870
1.978280
1.391470
1.410100
1.941320
1.950560
2.223850
2.270940
2.185110
2.208350
1.724360
1.611710
2.187490
2.163050
2.356470
2.366900
2.368090
2.334710
2.210140
2.061130
1.746710
1.310560
1.986620
1.941320
2.053980
1.380290
1.567300
2.129970
2.278690
1.885590
2.088840
2.297160
2.379120
2.118950
2.054270
1.479830
1.391170
1.869200
1.440640
1.984830
2.331440
2.383890
2.319220
2.098080
1.501440
1.604560
2.188380
2.304910
2.474780
2.555550
2.574920
2.515320
2.483130
2.374050
2.174680
1.586680
2.425610
2.554950
2.498920
2.274510
2.019410
2.521280
2.478060
1.998540
1.440050
1.555380
1.860860
2.267360
2.104640
2.012250
2.573730
2.408030
2.541540
1.726150
2.422630
2.585950
2.318020
2.642570
2.639590
2.627670
2.666710
2.334420
1.754460
2.439020
2.458690
2.015830
1.451080
1.921950
1.429470
2.225040
2.033110
2.413690
2.439020
2.242920
1.861450
1.533030
2.105830
2.344250
2.006290
1.404730
1.757740
1.961590
2.410410
1.558510
1.910030
2.327860
1.921060
1.734940
1.153200
1.533930
1.215490
1.452710
1.499650
1.667440
1.339020
1.085400
1.323370
1.310860
1.531390
1.504420
1.214890
1.754760
1.345430
1.051720
1.719890
1.180620
1.098510
1.556130
1.120870
1.339610
1.351390
1.045610
1.381040
1.042780
0.972748
0.405163
0.019926
0.688136
1.019540
1.183750
1.399220
0.713468
1.118780
0.943542
0.423640
0.731200
0.638366
0.478700
0.498071
0.373870
0.462383
0.282153
0.241548
0.341609
0.191666
0.152662
0.207722
0.133626
0.105835
0.157878
0.096411
0.063721
0.078827
0.038277
0.063032
0.072811
0.013611
0.018231
0.007108
0.005618
0.023749
0.017425
0.003780
0.016191
0.010235
0.004459
0.012396
0.009513
0.005336
0.014268
0.006831
0.006955
0.005432
0.001740
0.001818
0.000532
0.000000
0.000001
0.000008
0.003240
0.003765
0.005991
0.009420
0.001020
0.009979
0.008452
0.002565
0.012051
0.007690
0.006282
0.015241
0.003891
0.015469
0.018287
0.006037
0.031963
0.019223
0.026869
0.051428
0.016536
0.073388
0.078548
0.041649
